week,year,Pos,Team,H.A,Oppt,FDP,DKSalary,player
17,2016,QB,GB,a,DET,34.2,8800,Aaron Rodgers
17,2016,QB,ATL,h,NO,29.44,8700,Matt Ryan
17,2016,QB,KC,a,SDG,25.66,6600,Alex Smith
17,2016,QB,NE,a,MIA,25.64,9100,Tom Brady
17,2016,QB,MIN,h,CHI,23.4,6700,Sam Bradford
17,2016,QB,PIT,h,CLE,22.08,6000,Landry Jones
17,2016,QB,ARI,a,LA,21.2,7400,Carson Palmer
17,2016,QB,NO,a,ATL,21,8200,Drew Brees
17,2016,QB,DET,h,GB,20.88,8000,Matthew Stafford
17,2016,QB,HOU,a,TEN,20.22,6000,Brock Osweiler
17,2016,QB,IND,h,JAX,19.54,8400,Andrew Luck
17,2016,QB,PHI,h,DAL,19.1,6900,Carson Wentz
17,2016,QB,CLE,a,PIT,17.48,6200,Robert Griffin
17,2016,QB,SDG,h,KC,16.86,7700,Philip Rivers
17,2016,QB,NYJ,h,BUF,16.4,6700,Ryan Fitzpatrick
17,2016,QB,MIA,h,NE,15.2,6900,Matt Moore
17,2016,QB,DEN,h,LV,14.74,6800,Trevor Siemian
17,2016,QB,SEA,a,SF,14.72,7600,Russell Wilson
17,2016,QB,JAX,a,IND,14.14,7600,Blake Bortles
17,2016,QB,WAS,h,NYG,13.48,7900,Kirk Cousins
17,2016,QB,CIN,h,BAL,13.44,7300,Andy Dalton
17,2016,QB,SF,h,SEA,12.2,7200,Colin Kaepernick
17,2016,QB,CAR,a,TB,11.08,7800,Cam Newton
17,2016,QB,TB,h,CAR,10.88,7800,Jameis Winston
17,2016,QB,BAL,a,CIN,9.68,7300,Joe Flacco
17,2016,QB,TEN,h,HOU,9.2,6100,Matt Cassel
17,2016,QB,CHI,a,MIN,7.7,6500,Matt Barkley
17,2016,QB,NYG,a,WAS,7.2,7500,Eli Manning
17,2016,QB,LV,a,DEN,7,5000,Connor Cook
17,2016,QB,DAL,a,PHI,5.16,6000,Tony Romo
17,2016,QB,LA,h,ARI,4.8,6400,Jared Goff
17,2016,QB,BUF,a,NYJ,2.74,6000,Cardale Jones
17,2016,QB,SEA,a,SF,2.38,6000,Trevone Boykin
17,2016,QB,DAL,a,PHI,2.38,7700,Dak Prescott
17,2016,QB,BUF,a,NYJ,2.24,5000,EJ Manuel
17,2016,QB,DAL,a,PHI,1.4,5000,Mark Sanchez
17,2016,QB,CHI,a,MIN,0.88,5000,David Fales
17,2016,QB,LV,a,DEN,0.84,6000,Matt McGloin
17,2016,QB,CAR,a,TB,0,5000,Joe Webb
17,2016,QB,KC,a,SDG,0,6000,Nick Foles
17,2016,QB,SDG,h,KC,0,5000,Kellen Clemens
17,2016,QB,NE,a,MIA,0,6000,Jimmy Garoppolo
17,2016,QB,MIN,h,CHI,-0.3,6000,Shaun Hill
17,2016,QB,LA,h,ARI,-0.34,5000,Sean Mannion
17,2016,QB,BAL,a,CIN,-0.52,6000,Ryan Mallett
17,2016,QB,ARI,a,LA,-0.68,6000,Drew Stanton
17,2016,QB,HOU,a,TEN,-0.9,6600,Tom Savage
17,2016,RB,CIN,h,BAL,27.4,4500,Rex Burkhead
17,2016,RB,ATL,h,NO,26.2,8000,Devonta Freeman
17,2016,RB,KC,a,SDG,26.1,4700,Charcandrick West
17,2016,RB,SF,h,SEA,24.9,4600,Shaun Draughn
17,2016,RB,MIN,h,CHI,24.5,5200,Jerick McKinnon
17,2016,RB,DEN,h,LV,23.9,5300,Devontae Booker
17,2016,RB,PIT,h,CLE,22.9,4500,DeAngelo Williams
17,2016,RB,NO,a,ATL,22.2,6100,Mark Ingram
17,2016,RB,NYJ,h,BUF,21.2,6600,Bilal Powell
17,2016,RB,JAX,a,IND,20.7,4500,Corey Grant
17,2016,RB,DET,h,GB,19,4500,Zach Zenner
17,2016,RB,CLE,a,PIT,16.3,6100,Isaiah Crowell
17,2016,RB,GB,a,DET,14.6,4500,Aaron Ripkowski
17,2016,RB,BAL,a,CIN,13.8,5200,Kenneth Dixon
17,2016,RB,CAR,a,TB,13.7,6200,Jonathan Stewart
17,2016,RB,CHI,a,MIN,13.5,7400,Jordan Howard
17,2016,RB,ATL,h,NO,13.4,6400,Tevin Coleman
17,2016,RB,TEN,h,HOU,13.3,5100,Derrick Henry
17,2016,RB,NYG,a,WAS,12.2,5600,Rashad Jennings
17,2016,RB,ARI,a,LA,12,4500,Kerwynn Williams
17,2016,RB,BUF,a,NYJ,11.5,5200,Mike Gillislee
17,2016,RB,NE,a,MIA,11.1,7600,LeGarrette Blount
17,2016,RB,SDG,h,KC,10.6,4500,Ronnie Hillman
17,2016,RB,IND,h,JAX,10.3,5100,Robert Turbin
17,2016,RB,NYG,a,WAS,10.2,4500,Paul Perkins
17,2016,RB,PHI,h,DAL,9.8,4500,Terrell Watson
17,2016,RB,LA,h,ARI,9.7,6400,Todd Gurley
17,2016,RB,MIA,h,NE,9.4,7300,Jay Ajayi
17,2016,RB,CLE,a,PIT,9.4,4500,George Atkinson
17,2016,RB,NO,a,ATL,9.3,4500,Travaris Cadet
17,2016,RB,DEN,h,LV,9,5300,Justin Forsett
17,2016,RB,NO,a,ATL,8.9,5400,Tim Hightower
17,2016,RB,SDG,h,KC,8.7,4500,Andre Williams
17,2016,RB,IND,h,JAX,8.6,6200,Frank Gore
17,2016,RB,TB,h,CAR,8.4,5200,Jacquizz Rodgers
17,2016,RB,GB,a,DET,7.6,6700,Ty Montgomery
17,2016,RB,SEA,a,SF,7.4,7400,Thomas Rawls
17,2016,RB,WAS,h,NYG,7.2,5400,Chris Thompson
17,2016,RB,HOU,a,TEN,6.9,4500,Jonathan Grimes
17,2016,RB,LV,a,DEN,6.7,4500,DeAndre Washington
17,2016,RB,SEA,a,SF,6.4,5800,Alex Collins
17,2016,RB,CHI,a,MIN,6.2,4800,Jeremy Langford
17,2016,RB,NE,a,MIA,6.2,5200,Dion Lewis
17,2016,RB,MIN,h,CHI,6,5000,Matt Asiata
17,2016,RB,ARI,a,LA,5.9,9300,David Johnson
17,2016,RB,DAL,a,PHI,5.7,4500,Darren McFadden
17,2016,RB,BAL,a,CIN,5.5,5600,Terrance West
17,2016,RB,HOU,a,TEN,5.5,5600,Alfred Blue
17,2016,RB,DAL,a,PHI,5.4,4500,Lance Dunbar
17,2016,RB,PHI,h,DAL,5.1,4500,Byron Marshall
17,2016,RB,PHI,h,DAL,5.1,5500,Darren Sproles
17,2016,RB,NE,a,MIA,5,4500,James White
