game_date,wehoop_game_id,season,team,opp,home_away.x,spread_line,spread_price,total_line,total_price,team_score,opp_score,win_margin,game_total,game_id,home_half_score,away_half_score,race_to_10,race_to_15,race_to_20,race_to_25,race_to_30,race_to_35,race_to_40,home_score,away_score,home_win_margin,total_1h,home_spread_1h,result_1h,home_away.y,team_half_score,team_1h_win_margin
10/1/2019,401165808,2019,CON,WAS,away,7.5,104,172.5,-120,99,87,-12,186,1041900402,46,56,1,1,1,1,1,1,1,87,99,12,102,10,away,away,56,-10
10/1/2019,401165808,2019,WAS,CON,home,-7.5,-124,172.5,100,87,99,12,186,1041900402,46,56,0,0,0,0,0,0,0,87,99,12,102,10,away,home,46,10
10/1/2023,401578567,2023,NYL,CON,away,-5.5,-110,160.5,-107,87,84,-3,171,1042300214,44,45,0,0,0,0,0,0,0,84,87,3,89,1,away,away,45,-1
10/1/2023,401578567,2023,CON,NYL,home,5.5,-108,160.5,-113,84,87,3,171,1042300214,44,45,1,1,1,1,1,1,1,84,87,3,89,1,away,home,44,1
10/10/2019,401165811,2019,CON,WAS,away,6.5,-110,174,-110,78,89,11,167,1041900405,42,43,1,0,0,0,0,0,1,89,78,-11,85,1,away,away,43,-1
10/10/2019,401165811,2019,WAS,CON,home,-6.5,-110,174,-110,89,78,-11,167,1041900405,42,43,0,1,1,1,1,1,0,89,78,-11,85,1,away,home,42,1
10/10/2021,401370395,2021,CHI,PHO,away,2.5,-110,167.5,-110,91,77,-14,168,1042100401,35,46,0,0,0,0,0,1,1,77,91,14,81,11,away,away,46,-11
10/10/2021,401370395,2021,PHO,CHI,home,-2.5,-110,167.5,-110,77,91,14,168,1042100401,35,46,1,1,1,1,1,0,0,77,91,14,81,11,away,home,35,11
10/11/2023,401578572,2023,NYL,LVA,away,4.5,-112,171,-110,76,104,28,180,1042300302,52,44,0,0,0,0,0,0,0,104,76,-28,96,-8,home,away,44,8
10/11/2023,401578572,2023,LVA,NYL,home,-4.5,-108,171,-110,104,76,-28,180,1042300302,52,44,1,1,1,1,1,1,1,104,76,-28,96,-8,home,home,52,-8
10/13/2021,401370396,2021,CHI,PHO,away,4.5,-110,169,-110,86,91,5,177,1042100402,40,40,1,1,1,1,1,1,0,91,86,-5,80,0,tie,away,40,-0
10/13/2021,401370396,2021,PHO,CHI,home,-4.5,-110,169,-110,91,86,-5,177,1042100402,40,40,0,0,0,0,0,0,1,91,86,-5,80,0,tie,home,40,0
10/15/2021,401370397,2021,PHO,CHI,away,3,-110,165,-110,50,86,36,136,1042100403,46,24,0,0,0,0,0,0,0,86,50,-36,70,-22,home,away,24,22
10/15/2021,401370397,2021,CHI,PHO,home,-3,-110,165,-110,86,50,-36,136,1042100403,46,24,1,1,1,1,1,1,1,86,50,-36,70,-22,home,home,46,-22
10/15/2023,401578573,2023,LVA,NYL,away,-2,-113,172,-110,73,87,14,160,1042300303,43,40,0,0,0,0,0,0,0,87,73,-14,83,-3,home,away,40,3
10/15/2023,401578573,2023,NYL,LVA,home,2,-107,172,-105,87,73,-14,160,1042300303,43,40,1,1,1,1,1,1,1,87,73,-14,83,-3,home,home,43,-3
10/17/2021,401370398,2021,PHO,CHI,away,4.5,-110,164,-110,74,80,6,154,1042100404,37,44,0,0,0,1,1,0,1,80,74,-6,81,7,away,away,44,-7
10/17/2021,401370398,2021,CHI,PHO,home,-4.5,-110,164,-110,80,74,-6,154,1042100404,37,44,1,1,1,0,0,1,0,80,74,-6,81,7,away,home,37,7
10/18/2023,401578574,2023,LVA,NYL,away,5.5,-110,168.5,-110,70,69,-1,139,1042300304,39,30,0,0,0,0,0,0,0,69,70,1,69,-9,home,away,30,9
10/18/2023,401578574,2023,NYL,LVA,home,-5.5,-110,168.5,-110,69,70,1,139,1042300304,39,30,1,1,1,1,1,1,1,69,70,1,69,-9,home,home,39,-9
10/2/2020,401244183,2020,SEA,LVA,away,-6,-110,164,-110,93,80,-13,173,1042000401,40,57,0,1,1,0,0,1,1,80,93,13,97,17,away,away,57,-17
10/2/2020,401244183,2020,LVA,SEA,home,6,-110,164,-110,80,93,13,173,1042000401,40,57,1,0,0,1,1,0,0,80,93,13,97,17,away,home,40,17
10/3/2021,401370439,2021,CON,CHI,away,-4.5,-110,153.5,-110,83,86,3,169,1042100303,37,35,0,1,1,1,1,1,0,86,83,-3,72,-2,home,away,35,2
10/3/2021,401370439,2021,CHI,CON,home,4.5,-110,153.5,-110,86,83,-3,169,1042100303,37,35,1,0,0,0,0,0,1,86,83,-3,72,-2,home,home,37,-2
10/3/2021,401370438,2021,LVA,PHO,away,-2,-110,173,-110,60,87,27,147,1042100313,46,31,0,0,0,0,0,0,0,87,60,-27,77,-15,home,away,31,15
10/3/2021,401370438,2021,PHO,LVA,home,2,-110,173,-110,87,60,-27,147,1042100313,46,31,1,1,1,1,1,1,1,87,60,-27,77,-15,home,home,46,-15
10/4/2020,401244184,2020,SEA,LVA,away,-7.5,-110,167,-110,104,91,-13,195,1042000402,42,48,1,1,1,1,1,1,1,91,104,13,90,6,away,away,48,-6
10/4/2020,401244184,2020,LVA,SEA,home,7,-105,167,-110,91,104,13,195,1042000402,42,48,0,0,0,0,0,0,0,91,104,13,90,6,away,home,42,6
10/6/2019,401165809,2019,WAS,CON,away,2.5,-111,172.5,-110,94,81,-13,175,1041900403,39,43,1,1,1,1,1,1,1,81,94,13,82,4,away,away,43,-4
10/6/2019,401165809,2019,CON,WAS,home,-2.5,-109,172.5,-110,81,94,13,175,1041900403,39,43,0,0,0,0,0,0,0,81,94,13,82,4,away,home,39,4
10/6/2020,401244185,2020,LVA,SEA,away,7.5,-110,171.5,-112,59,92,33,151,1042000403,43,34,1,1,1,0,0,0,0,92,59,-33,77,-9,home,away,34,9
10/6/2020,401244185,2020,SEA,LVA,home,-7.5,-110,171.5,-108,92,59,-33,151,1042000403,43,34,0,0,0,1,1,1,1,92,59,-33,77,-9,home,home,43,-9
10/6/2021,401370440,2021,LVA,PHO,away,1,-110,171,-110,93,76,-17,169,1042100314,46,49,0,0,0,0,0,1,1,76,93,17,95,3,away,away,49,-3
10/6/2021,401370440,2021,PHO,LVA,home,-1,-110,171,-110,76,93,17,169,1042100314,46,49,1,1,1,1,1,0,0,76,93,17,95,3,away,home,46,3
10/6/2021,401370441,2021,CON,CHI,away,-4,-110,156,-110,69,79,10,148,1042100304,54,41,0,0,0,0,0,0,0,79,69,-10,95,-13,home,away,41,13
10/6/2021,401370441,2021,CHI,CON,home,4,-110,156,-110,79,69,-10,148,1042100304,54,41,1,1,1,1,1,1,1,79,69,-10,95,-13,home,home,54,-13
10/8/2019,401165810,2019,WAS,CON,away,1.5,-110,175,-125,86,90,4,176,1041900404,56,40,0,0,0,0,0,0,0,90,86,-4,96,-16,home,away,40,16
10/8/2019,401165810,2019,CON,WAS,home,-1.5,-110,175,105,90,86,-4,176,1041900404,56,40,1,1,1,1,1,1,1,90,86,-4,96,-16,home,home,56,-16
10/8/2021,401370442,2021,PHO,LVA,away,5.5,-110,168.5,-110,87,84,-3,171,1042100315,42,44,1,1,1,1,1,1,1,84,87,3,86,2,away,away,44,-2
