season,week,team,opponent
2020,1,KC,HOU
2020,1,ATL,SEA
2020,1,BAL,CLE
2020,1,BUF,NYJ
2020,1,CAR,LV
2020,1,DET,CHI
2020,1,JAX,IND
2020,1,MIN,GB
2020,1,NE,MIA
2020,1,WAS,PHI
2020,1,CIN,LAC
2020,1,NO,TB
2020,1,SF,ARI
2020,1,LA,DAL
2020,1,NYG,PIT
2020,1,DEN,TEN
2020,2,CLE,CIN
2020,2,CHI,NYG
2020,2,DAL,ATL
2020,2,GB,DET
2020,2,IND,MIN
2020,2,MIA,BUF
2020,2,NYJ,SF
2020,2,PHI,LA
2020,2,PIT,DEN
2020,2,TB,CAR
2020,2,TEN,JAX
2020,2,ARI,WAS
2020,2,HOU,BAL
2020,2,LAC,KC
2020,2,SEA,NE
2020,2,LV,NO
2020,3,JAX,MIA
2020,3,ATL,CHI
2020,3,BUF,LA
2020,3,CLE,WAS
2020,3,MIN,TEN
2020,3,NE,LV
2020,3,NYG,SF
2020,3,PHI,CIN
2020,3,PIT,HOU
2020,3,IND,NYJ
2020,3,LAC,CAR
2020,3,ARI,DET
2020,3,DEN,TB
2020,3,SEA,DAL
2020,3,NO,GB
2020,3,BAL,KC
2020,4,NYJ,DEN
2020,4,CAR,ARI
2020,4,CIN,JAX
2020,4,DAL,CLE
2020,4,DET,NO
2020,4,HOU,MIN
2020,4,MIA,SEA
2020,4,TB,LAC
2020,4,WAS,BAL
2020,4,LA,NYG
2020,4,CHI,IND
2020,4,LV,BUF
2020,4,SF,PHI
2020,4,KC,NE
2020,4,GB,ATL
2020,5,CHI,TB
2020,5,ATL,CAR
2020,5,BAL,CIN
2020,5,HOU,JAX
2020,5,KC,LV
2020,5,NYJ,ARI
2020,5,PIT,PHI
2020,5,WAS,LA
2020,5,SF,MIA
2020,5,CLE,IND
2020,5,DAL,NYG
2020,5,SEA,MIN
2020,5,NO,LAC
2020,5,TEN,BUF
2020,6,CAR,CHI
2020,6,IND,CIN
2020,6,JAX,DET
2020,6,MIN,ATL
2020,6,NE,DEN
2020,6,NYG,WAS
2020,6,PHI,BAL
2020,6,PIT,CLE
2020,6,TEN,HOU
2020,6,MIA,NYJ
2020,6,TB,GB
2020,6,SF,LA
2020,6,BUF,KC
2020,6,DAL,ARI
2020,7,PHI,NYG
