Position,Player,Points,Salary,Team,Opp,Minutes,Date,Started,Home.Away,Win.Loss
PG,Stephen Curry,42.8,8700,gsw,bkn,30,2020-12-22,Yes,Away,Loss
SG,Paul George,42.7,7600,lac,lal,35,2020-12-22,Yes,Away,Win
SG,Dennis Schroder,39.4,5000,lal,lac,27,2020-12-22,Yes,Home,Loss
PG,Kyrie Irving,35.8,9000,bkn,gsw,25,2020-12-22,Yes,Home,Win
SG,Kentavious Caldwell-Pope,19.9,3700,lal,lac,23,2020-12-22,Yes,Home,Loss
PG,Patrick Beverley,19.7,4200,lac,lal,22,2020-12-22,Yes,Away,Win
SG,Spencer Dinwiddie,18,5200,bkn,gsw,19,2020-12-22,Yes,Home,Win
SG,Luke Kennard,17.4,4000,lac,lal,21,2020-12-22,No,Away,Win
PG,Louis Williams,16.9,5300,lac,lal,25,2020-12-22,No,Away,Win
SG,Andrew Wiggins,15.9,6600,gsw,bkn,31,2020-12-22,Yes,Away,Loss
SG,Damion Lee,14.4,3900,gsw,bkn,12,2020-12-22,No,Away,Loss
SG,Talen Horton-Tucker,9.2,3500,lal,lac,10,2020-12-22,No,Home,Loss
SG,Landry Shamet,8.2,3900,bkn,gsw,19,2020-12-22,No,Home,Win
PG,Brad Wanamaker,7.7,3700,gsw,bkn,21,2020-12-22,No,Away,Loss
PG,Jordan Poole,6.9,3800,gsw,bkn,17,2020-12-22,No,Away,Loss
SG,Timothe Luwawu,6.4,3600,bkn,gsw,6,2020-12-22,No,Home,Win
PG,Tyler Johnson,4.2,3500,bkn,gsw,5,2020-12-22,No,Home,Win
PG,Alex Caruso,3.9,3900,lal,lac,16,2020-12-22,No,Home,Loss
SG,Bruce Brown,2.7,3700,bkn,gsw,7,2020-12-22,No,Home,Win
SG,Reggie Jackson,1.2,4200,lac,lal,3,2020-12-22,No,Away,Win
PG,Quinn Cook,0,3500,lal,lac,1,2020-12-22,No,Home,Loss
SG,Terance Mann,0,3500,lac,lal,1,2020-12-22,No,Away,Win
SF,Caris LeVert,45.3,5800,bkn,gsw,24,2020-12-22,No,Home,Win
PF,Kevin Durant,43.5,8500,bkn,gsw,24,2020-12-22,Yes,Home,Win
SF,Kawhi Leonard,35.9,9500,lac,lal,34,2020-12-22,Yes,Away,Win
SF,LeBron James,31.5,11000,lal,lac,28,2020-12-22,Yes,Home,Loss
PF,Anthony Davis,25.4,10600,lal,lac,30,2020-12-22,Yes,Home,Loss
SF,Nicolas Batum,24.2,3500,lac,lal,28,2020-12-22,Yes,Away,Win
PF,Serge Ibaka,24.2,5500,lac,lal,20,2020-12-22,Yes,Away,Win
SF,Kelly Oubre,23.4,6400,gsw,bkn,25,2020-12-22,Yes,Away,Loss
SF,Joe Harris,22.4,4300,bkn,gsw,20,2020-12-22,Yes,Home,Win
PF,Marquese Chriss,20.1,4400,gsw,bkn,12,2020-12-22,No,Away,Loss
SF,Juan Toscano-Anderson,17.8,3500,gsw,bkn,13,2020-12-22,No,Away,Loss
PF,Kyle Kuzma,14.2,4200,lal,lac,26,2020-12-22,No,Home,Loss
PF,Patrick Patterson,13.1,3500,lac,lal,19,2020-12-22,No,Away,Win
PF,Markieff Morris,11.3,3700,lal,lac,19,2020-12-22,No,Home,Loss
PF,Jeff Green,10.5,3500,bkn,gsw,17,2020-12-22,No,Home,Win
PF,Eric Paschall,10.2,4900,gsw,bkn,21,2020-12-22,Yes,Away,Loss
SF,Mychal Mulder,9.2,3500,gsw,bkn,6,2020-12-22,No,Away,Loss
SF,Kent Bazemore,8.4,3600,gsw,bkn,11,2020-12-22,No,Away,Loss
SF,Taurean Prince,8.2,3900,bkn,gsw,16,2020-12-22,No,Home,Win
PF,Reggie Perry,5.9,3500,bkn,gsw,7,2020-12-22,No,Home,Win
PF,Rodions Kurucs,4.2,3500,bkn,gsw,6,2020-12-22,No,Home,Win
SF,Wes Matthews,3,3600,lal,lac,11,2020-12-22,No,Home,Loss
PF,Amir Coffey,0,3500,lac,lal,0,2020-12-22,No,Away,Win
SF,Mfiondu Kabengele,0,3500,lac,lal,0,2020-12-22,No,Away,Win
C,Montrezl Harrell,35.5,5100,lal,lac,32,2020-12-22,No,Home,Loss
C,James Wiseman,31.2,4200,gsw,bkn,24,2020-12-22,Yes,Away,Loss
C,Jarrett Allen,26.4,4800,bkn,gsw,19,2020-12-22,No,Home,Win
C,Ivica Zubac,24.7,4700,lac,lal,26,2020-12-22,No,Away,Win
C,DeAndre Jordan,21.7,4500,bkn,gsw,17,2020-12-22,Yes,Home,Win
C,Kevon Looney,4.4,4100,gsw,bkn,11,2020-12-22,No,Away,Loss
C,Marc Gasol,1.7,3800,lal,lac,12,2020-12-22,Yes,Home,Loss
PG,Ja Morant,67.9,7800,mem,sas,35,2020-12-23,Yes,Home,Loss
SG,DeMar DeRozan,57.3,7500,sas,mem,34,2020-12-23,Yes,Away,Win
PG,Terry Rozier,54.6,4600,cha,cle,37,2020-12-23,Yes,Away,Loss
SG,Khris Middleton,53.8,7400,mil,bos,37,2020-12-23,Yes,Away,Loss
PG,Trae Young,50.7,9700,atl,chi,25,2020-12-23,Yes,Away,Win
PG,Russell Westbrook,50.7,9900,was,phi,36,2020-12-23,Yes,Away,Loss
PG,Ben Simmons,48.3,9200,phi,was,32,2020-12-23,Yes,Home,Win
PG,Luka Doncic,48.1,11400,dal,pho,35,2020-12-23,Yes,Away,Loss
PG,Malcolm Brogdon,46.4,6600,ind,nyk,34,2020-12-23,Yes,Home,Win
PG,Dejounte Murray,44.7,6200,sas,mem,30,2020-12-23,Yes,Away,Win
SG,Bradley Beal,43.9,8100,was,phi,35,2020-12-23,Yes,Away,Loss
PG,Jrue Holiday,42.7,7000,mil,bos,38,2020-12-23,Yes,Away,Loss
PG,De'Aaron Fox,40.3,8500,sac,den,38,2020-12-23,Yes,Away,Win
PG,Darius Garland,39.2,4400,cle,cha,32,2020-12-23,Yes,Home,Win
