idPlayer,namePlayer,position
1629164,Brandon Goodwin,G
1630233,Nathan Knight,F
1628989,Kevin Huerter,G
1630219,Skylar Mays,G
200765,Rajon Rondo,G
201568,Danilo Gallinari,F
1629027,Trae Young,G
1629631,De'Andre Hunter,F
203992,Bogdan Bogdanovic,G
203991,Clint Capela,C
1630168,Onyeka Okongwu,F
203524,Solomon Hill,F
203503,Tony Snell,G
1628381,John Collins,F
1629629,Cam Reddish,F
1628981,Bruno Fernando,F
1627739,Kris Dunn,G
1629066,Rodions Kurucs,F
1628971,Bruce Brown,G
1627752,Taurean Prince,F
1629185,Chris Chiozza,G
201599,DeAndre Jordan,C
201142,Kevin Durant,F
201145,Jeff Green,F
1627789,Timothe Luwawu-Cabarrot,G
204020,Tyler Johnson,G
202681,Kyrie Irving,G
203925,Joe Harris,G
1629013,Landry Shamet,G
1629617,Reggie Perry,F
1627747,Caris LeVert,G
203915,Spencer Dinwiddie,G
1628386,Jarrett Allen,C
1629651,Nicolas Claxton,F
1628369,Jayson Tatum,F
1629035,Carsen Edwards,G
1627759,Jaylen Brown,G
202689,Kemba Walker,G
1630202,Payton Pritchard,G
1629684,Grant Williams,F
202684,Tristan Thompson,C
1630174,Aaron Nesmith,G
1628464,Daniel Theis,F
203935,Marcus Smart,G
1628400,Semi Ojeleye,F
1629750,Javonte Green,G
1629057,Robert Williams III,C
1629641,Romeo Langford,G
1629682,Tremont Waters,G
201952,Jeff Teague,G
1629605,Tacko Fall,C
1628970,Miles Bridges,F
1628370,Malik Monk,G
1630163,LaMelo Ball,G
1626179,Terry Rozier,G
1628984,Devonte' Graham,G
1629667,Jalen McDaniels,F
1630203,Grant Riller,G
202687,Bismack Biyombo,C
1628997,Caleb Martin,F
1628998,Cody Martin,F
1630208,Nick Richards,C
202330,Gordon Hayward,F
1630176,Vernon Carey Jr.,F
1629023,P.J. Washington,F
1630268,Nate Darling,G
203469,Cody Zeller,F
1629632,Coby White,G
1628436,Luke Kornet,F
1629653,Devon Dotson,G
1626245,Cristiano Felicio,F
203897,Zach LaVine,G
1630172,Patrick Williams,F
1629655,Daniel Gafford,F
1628990,Chandler Hutchison,F
202066,Garrett Temple,G
1629690,Adam Mokoka,G
201152,Thaddeus Young,F
203490,Otto Porter Jr.,F
1628374,Lauri Markkanen,F
203107,Tomas Satoransky,G
1628976,Wendell Carter Jr.,C
1627756,Denzel Valentine,G
1627853,Ryan Arcidiacono,G
201567,Kevin Love,F
203957,Dante Exum,G
1629012,Collin Sexton,G
203083,Andre Drummond,C
1629645,Kevin Porter Jr.,G
201580,JaVale McGee,C
1630205,Lamar Stevens,F
1629685,Dylan Windler,G
1629636,Darius Garland,G
1627748,Thon Maker,F
1626224,Cedi Osman,F
203521,Matthew Dellavedova,G
1628422,Damyean Dotson,G
1626204,Larry Nance Jr.,F
1629716,Marques Bolden,C
1629731,Dean Wade,F
1630171,Isaac Okoro,F
1626196,Josh Richardson,G
1630179,Tyrell Terry,G
1630189,Tyler Bey,F
203504,Trey Burke,G
204001,Kristaps Porzingis,F
203939,Dwight Powell,F
1630182,Josh Green,G
1627827,Dorian Finney-Smith,F
203501,Tim Hardaway Jr.,G
1628973,Jalen Brunson,G
1630207,Nate Hinton,G
201949,James Johnson,F
1628411,Wes Iwundu,F
1626161,Willie Cauley-Stein,C
1628467,Maxi Kleber,F
1626246,Boban Marjanovic,C
1629029,Luka Doncic,F
1630210,Markus Howard,G
1629008,Michael Porter Jr.,F
204222,Greg Whittington,F
200794,Paul Millsap,F
203210,JaMychal Green,F
203115,Will Barton,G
1630267,Facundo Campazzo,G
1629626,Bol Bol,C
1628420,Monte Morris,G
1630181,R.J. Hampton,G
203914,Gary Harris,G
203999,Nikola Jokic,C
1630192,Zeke Nnaji,F
1628392,Isaiah Hartenstein,C
1627750,Jamal Murray,G
1628427,Vlatko Cancar,F
1628408,PJ Dozier,G
1628402,Frank Jackson,G
1630165,Killian Hayes,G
201961,Wayne Ellington,G
203924,Jerami Grant,F
1626143,Jahlil Okafor,C
203585,Rodney McGruder,G
