dateGame,locationGame,slugTeam,Opp,namePlayer,fgm,fga,3-pointers,fg3a,fg2m,fg2a,minutes,ftm,fta,rebounds,assists,steals,blocks,turnovers,points,fpts,urlPlayerHeadshot
2019-10-22,H,TOR,NOP,OG Anunoby,5,12,1,4,4,8,36,0,1,7,0,0,2,1,11,24.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png
2019-10-22,H,TOR,NOP,Pascal Siakam,11,26,2,5,9,21,38,10,11,18,5,0,1,4,34,62.1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627783.png
2019-10-22,A,NOP,TOR,Lonzo Ball,2,7,2,3,0,4,25,2,2,5,5,0,0,1,8,20.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png
2019-10-22,H,TOR,NOP,Marc Gasol,2,9,1,4,1,5,32,1,1,4,1,0,0,0,6,12.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201188.png
2019-10-22,A,NOP,TOR,Jrue Holiday,6,15,1,6,5,9,41,0,2,4,6,0,2,5,13,27.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png
2019-10-22,A,NOP,TOR,Derrick Favors,3,6,0,0,3,6,21,0,0,7,2,0,1,1,6,19.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202324.png
2019-10-22,A,NOP,TOR,JJ Redick,6,9,4,6,2,3,27,0,0,2,1,0,0,3,16,16.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200755.png
2019-10-22,A,NOP,TOR,Nickeil Alexander-Walker,1,10,1,7,0,3,12,0,0,4,2,2,0,1,3,15.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png
2019-10-22,A,NOP,TOR,Josh Hart,4,9,3,5,1,4,28,4,4,10,1,0,1,1,15,30.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628404.png
2019-10-22,H,TOR,NOP,Serge Ibaka,4,10,0,1,4,9,26,5,6,5,0,1,0,3,13,19,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201586.png
