playerName,teamName,oppName,passComp,passAtt,passYds,passTd,passInt,rushAtt,rushYds,recvReceptions,recvYds
Lamar Jackson,BLT,@TEN,18.3835,30.999,217.066,1.7132,0.6934,10.5098,69.2866,0,0
Josh Allen,BUF,IND,20.1795,33.3643,239.3348,1.5363,0.7721,8.5759,41.8983,0,0
Tom Brady,TB,@WAS,23.9962,38.9387,293.6287,2.0972,0.571,2.6173,-0.1575,0,0
Alvin Kamara,NO,CHI,0,0,0,0,0,11.7532,54.1963,4.543,36.9369
Ryan Tannehill,TEN,BLT,19.9185,32.7455,246.6537,1.6799,0.7144,2.7924,18.2658,0,0
Michael Thomas,NO,CHI,0,0,0,0,0,0,0,7.6468,89.9239
Russell Wilson,SEA,LA,19.0158,30.8261,230.7409,1.4917,0.621,5.8803,28.8339,0,0
Drew Brees,NO,CHI,24.6278,36.0082,273.9458,1.8624,0.7616,1.0685,-0.9824,0,0
Mitchell Trubisky,CHI,@NO,22.0606,34.7399,238.7472,1.3912,0.8023,3.5385,19.7492,0,0
Derrick Henry,TEN,BLT,0,0,0,0,0,19.4974,89.7009,1.4769,10.8919
Jonathan Taylor,IND,@BUF,0,0,0,0,0,17.7415,78.7287,2.3041,16.2308
Stefon Diggs,BUF,IND,0,0,0,0,0,0,0,6.3834,78.3173
Baker Mayfield,CLV,@PIT,20.5363,33.4723,235.2263,1.3986,0.9779,3.692,10.5873,0,0
A.J. Brown,TEN,BLT,0,0,0,0,0,0,0,5.1237,80.1483
Ben Roethlisberger,PIT,CLV,22.5742,36.7411,247.2556,1.4905,0.8319,1.7917,2.2653,0,0
David Montgomery,CHI,@NO,0,0,0,0,0,16.0083,62.2549,3.0126,24.0674
Cam Akers,LA,@SEA,0,0,0,0,0,18.4948,73.7019,1.8459,14.656
Allen Robinson II,CHI,@NO,0,0,0,0,0,0.1096,0.6331,5.6346,70.8821
Philip Rivers,IND,@BUF,21.8325,36.6484,231.6957,1.3943,0.9401,1.7588,0.0324,0,0
Alex Smith,WAS,TB,19.9407,32.3317,207.8426,1.209,0.5139,2.8189,11.0601,0,0
Chris Carson,SEA,LA,0,0,0,0,0,13.2045,57.779,2.5287,19.554
Antonio Gibson,WAS,TB,0,0,0,0,0,14.9703,64.4761,1.6184,11.7501
Chris Godwin,TB,@WAS,0,0,0,0,0,0,0,4.941,67.2079
Ronald Jones,TB,@WAS,0,0,0,0,0,14.6571,60.68,2.0071,16.1319
James Conner,PIT,CLV,0,0,0,0,0,11.4842,49.0308,2.3981,18.6041
Nick Chubb,CLV,@PIT,0,0,0,0,0,15.6642,68.6582,1.4953,11.4243
Tyler Lockett,SEA,LA,0,0,0,0,0,0,0,4.975,65.4512
Marquise Brown,BLT,@TEN,0,0,0,0,0,0.1507,1.0441,4.6356,59.2954
Latavius Murray,NO,CHI,0,0,0,0,0,10.6847,45.8349,2.3097,16.2572
John Wolford,LA,@SEA,15.0841,24.6942,160.8608,0.8809,0.7758,3.9296,19.0505,0,0
Antonio Brown,TB,@WAS,0,0,0,0,0,0.2617,1.1473,4.9146,55.8561
Terry McLaurin,WAS,TB,0,0,0,0,0,0,0,4.6432,62.8265
Cooper Kupp,LA,@SEA,0,0,0,0,0,0.3853,2.4832,5.1361,56.6223
D.K. Metcalf,SEA,LA,0,0,0,0,0,0,0,4.063,63.5944
Jarvis Landry,CLV,@PIT,0,0,0,0,0,0.2611,1.5884,4.8072,58.6324
Robert Woods,LA,@SEA,0,0,0,0,0,1.0275,5.6022,4.9165,52.44
Diontae Johnson,PIT,CLV,0,0,0,0,0,0.2438,1.7761,4.9102,52.3303
Mark Andrews,BLT,@TEN,0,0,0,0,0,0,0,4.6446,61.4257
Corey Davis,TEN,BLT,0,0,0,0,0,0,0,4.3056,58.7043
