posteam,defteam,week,yardline_100,play_type,yards_gained,sack,epa,play_clock,pass_oe,xpass,no_huddle,wp,qtr,ydstogo,down,score_differential
TEN,ARI,1,75,run,-3,0,-1.3998051071539521,7,-49.14329946041107,0.4914329946041107,0,0.5462617874145508,1,10,1,0
TEN,ARI,1,78,pass,3,0,0.03241235623136163,9,30.265414714813232,0.6973458528518677,0,0.5205992460250854,1,13,2,0
TEN,ARI,1,75,pass,0,0,-1.5328976679593325,8,2.174651622772217,0.9782534837722778,0,0.49831897020339966,1,10,3,0
ARI,TEN,1,61,pass,38,0,2.692890160600655,0,54.10113036632538,0.4589886963367462,0,0.5224343538284302,1,10,1,0
ARI,TEN,1,23,run,2,0,-1.0099077550694346,10,-41.98332726955414,0.4198332726955414,1,0.6167829036712646,1,10,1,0
ARI,TEN,1,31,pass,1,0,-0.5110899878200144,2,31.50513768196106,0.6849486231803894,0,0.5919821262359619,1,18,1,0
ARI,TEN,1,30,pass,21,0,2.18201484833844,1,22.4537193775177,0.775462806224823,0,0.5806199908256531,1,17,2,0
ARI,TEN,1,9,run,0,0,-0.5799394758651033,26,-35.1697713136673,0.351697713136673,1,0.6304266452789307,1,9,1,0
ARI,TEN,1,24,pass,8,0,-0.21403872163500637,5,22.703319787979126,0.7729668021202087,0,0.5857536196708679,1,24,2,0
ARI,TEN,1,16,pass,0,0,-0.21130186927050865,9,8.006817102432251,0.9199318289756775,1,0.566265881061554,1,16,3,0
TEN,ARI,1,80,run,-1,0,-0.948031953535974,1,-51.155853271484375,0.51155853271484375,0,0.43234211206436157,1,10,1,-3
TEN,ARI,1,81,pass,-14,1,-6.696359839173965,5,26.9234299659729,0.730765700340271,0,0.4033443033695221,1,11,2,-3
ARI,TEN,1,5,pass,0,0,-0.44830089260358363,7,58.32717418670654,0.41672825813293457,0,0.6580679416656494,1,5,1,3
ARI,TEN,1,5,pass,0,0,-0.8812771253869869,7,38.8761043548584,0.611238956451416,0,0.6431223154067993,1,5,2,3
ARI,TEN,1,5,pass,5,0,2.691886954009533,11,4.425722360610962,0.9557427763938904,0,0.628078043460846,1,5,3,3
TEN,ARI,1,75,run,2,0,-0.48326796386390924,6,-53.201448917388916,0.5320144891738892,0,0.2729254364967346,1,10,1,-10
TEN,ARI,1,73,run,7,0,-1.8220979135949165,1,-70.52980661392212,0.7052980661392212,0,0.25770270824432373,1,8,2,-10
TEN,ARI,1,81,pass,0,0,-1.1158876046538353,7,6.091517210006714,0.9390848278999329,0,0.23268260061740875,1,16,3,-10
ARI,TEN,1,65,run,4,0,-0.044034799095243216,7,-48.467716574668884,0.48467716574668884,0,0.7612493634223938,1,10,1,10
ARI,TEN,1,61,pass,3,0,-0.37688301713205874,8,39.197033643722534,0.6080296635627747,1,0.7631115913391113,1,6,2,10
ARI,TEN,1,58,pass,0,0,-1.6764212732668966,12,10.478562116622925,0.8952143788337708,1,0.7460925579071045,1,3,3,10
