season,week,player_id,mfl_id,name,position,team,ff_pts,pass_comp,pass_att,pass_yds,pass_td,pass_int,sacked,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,xp,fg,pass_1d,rush_1d,rec_1d,ff_pts_ppr,ff_pts_half,fumbles_recovered,td,sacks,points_allowed
2020,15,mahomp1,13116,Patrick Mahomes,QB,KC,22.512,25.627,37.393,314.101,2.165,0.381,1.975,3.514,16.940,0.134,0.000,0.000,0.000,0.224,0.000,0.000,14.963,1.103,0.000,22.512,22.51200,NA,NA,NA,NA
2020,15,rodgea1,7836,Aaron Rodgers,QB,GB,22.432,23.974,35.444,284.379,2.519,0.180,1.661,3.292,12.924,0.071,0.000,0.000,0.000,0.189,0.000,0.000,13.656,0.841,0.000,22.432,22.43200,NA,NA,NA,NA
2020,15,allenj3,13589,Josh Allen,QB,BUF,22.425,23.670,36.075,264.430,2.021,0.696,1.967,6.025,27.413,0.473,0.000,0.000,0.000,0.212,0.000,0.000,12.893,1.785,0.000,22.425,22.42500,NA,NA,NA,NA
2020,15,jacksl1,13593,Lamar Jackson,QB,BAL,22.213,20.457,30.575,248.533,1.713,0.550,1.804,5.734,46.638,0.360,0.000,0.000,0.000,0.152,0.000,0.000,11.865,3.036,0.000,22.213,22.21300,NA,NA,NA,NA
2020,15,murrak1,14056,Kyler Murray,QB,ARI,21.099,23.184,34.449,248.588,1.639,0.754,1.900,5.641,31.056,0.570,0.000,0.000,0.000,0.209,0.000,0.000,12.252,2.022,0.000,21.099,21.09900,NA,NA,NA,NA
2020,15,wilsor1,10703,Russell Wilson,QB,SEA,20.696,22.887,34.428,254.586,2.002,0.599,2.355,6.424,34.210,0.120,0.000,0.000,0.000,0.219,0.000,0.000,12.427,2.227,0.000,20.696,20.69600,NA,NA,NA,NA
2020,15,tanner1,10697,Ryan Tannehill,QB,TEN,20.200,23.336,34.044,283.797,2.083,0.545,1.668,2.421,10.546,0.147,0.000,0.000,0.000,0.165,0.000,0.000,13.545,0.687,0.000,20.200,20.20000,NA,NA,NA,NA
2020,15,herbej1,14779,Justin Herbert,QB,LAC,19.722,24.209,37.297,269.214,2.052,0.746,2.140,2.621,12.992,0.246,0.000,0.000,0.000,0.269,0.000,0.000,13.142,0.846,0.000,19.722,19.72200,NA,NA,NA,NA
2020,15,bradyt1,5848,Tom Brady,QB,TB,19.559,24.745,37.216,292.163,2.106,0.636,1.837,0.540,1.341,0.169,0.000,0.000,0.000,0.214,0.000,0.000,14.046,0.087,0.000,19.559,19.55900,NA,NA,NA,NA
2020,15,watsod1,13113,Deshaun Watson,QB,HOU,19.244,22.948,35.328,267.729,1.547,0.878,2.806,6.497,31.066,0.268,0.000,0.000,0.000,0.306,0.000,0.000,12.910,2.022,0.000,19.244,19.24400,NA,NA,NA,NA
2020,15,goffj1,12611,Jared Goff,QB,DET,19.220,23.911,35.067,286.536,1.895,0.643,1.410,1.555,5.161,0.202,0.000,0.000,0.000,0.132,0.000,0.000,13.725,0.336,0.000,19.220,19.22000,NA,NA,NA,NA
2020,15,hurtsj1,14783,Jalen Hurts,QB,PHI,18.050,18.234,30.189,211.323,1.177,0.924,2.045,12.059,52.051,0.371,0.000,0.000,0.000,0.347,0.000,0.000,10.207,3.389,0.000,18.050,18.05000,NA,NA,NA,NA
2020,15,riverp1,7394,Philip Rivers,QB,,18.008,24.142,35.955,285.980,2.085,0.790,1.749,0.375,1.391,0.000,0.000,0.000,0.000,0.165,0.000,0.000,13.738,0.091,0.000,18.008,18.00800,NA,NA,NA,NA
2020,15,carrd2,11644,Derek Carr,QB,LV,17.956,24.146,35.666,276.768,1.800,0.660,1.993,2.303,8.048,0.103,0.000,0.000,0.000,0.209,0.000,0.000,13.406,0.524,0.000,17.956,17.95600,NA,NA,NA,NA
2020,15,roethb1,7401,Ben Roethlisberger,QB,PIT,17.805,23.372,36.002,266.415,1.914,0.419,1.521,0.474,1.687,0.079,0.000,0.000,0.000,0.156,0.000,0.000,12.922,0.110,0.000,17.805,17.80500,NA,NA,NA,NA
2020,15,breesd1,4925,Drew Brees,QB,,17.368,23.341,33.742,280.905,1.896,0.498,2.365,0.000,0.000,0.000,0.000,0.000,0.000,0.228,0.000,0.000,13.441,0.000,0.000,17.368,17.36800,NA,NA,NA,NA
2020,15,cousik1,10700,Kirk Cousins,QB,MIN,16.807,21.565,32.324,265.504,1.717,0.759,2.455,2.268,7.490,0.095,0.000,0.000,0.000,0.241,0.000,0.000,12.634,0.488,0.000,16.807,16.80700,NA,NA,NA,NA
2020,15,trubim1,13115,Mitch Trubisky,QB,BUF,16.749,22.559,35.918,269.385,1.525,0.754,2.553,2.883,13.131,0.105,0.000,0.000,0.000,0.281,0.000,0.000,12.915,0.855,0.000,16.749,16.74900,NA,NA,NA,NA
2020,15,bridgt1,11640,Teddy Bridgewater,QB,DEN,16.536,22.604,34.728,253.607,1.436,0.867,2.290,4.500,19.721,0.167,0.000,0.000,0.000,0.296,0.000,0.000,12.351,1.284,0.000,16.536,16.53600,NA,NA,NA,NA
2020,15,ryanm1,9099,Matt Ryan,QB,ATL,16.107,23.826,36.867,273.142,1.590,0.897,3.033,2.137,7.954,0.062,0.000,0.000,0.000,0.276,0.000,0.000,13.229,0.518,0.000,16.107,16.10700,NA,NA,NA,NA
2020,15,mayfib1,13590,Baker Mayfield,QB,CLE,15.936,20.901,32.072,242.649,1.705,0.696,1.883,2.450,8.760,0.051,0.000,0.000,0.000,0.190,0.000,0.000,11.715,0.570,0.000,15.936,15.93600,NA,NA,NA,NA
2020,15,newtoc1,10273,Cam Newton,QB,NE,15.754,16.460,26.430,180.517,0.612,1.101,2.482,8.007,35.470,0.887,0.000,0.000,0.000,0.291,0.000,0.000,8.844,2.309,0.000,15.754,15.75400,NA,NA,NA,NA
2020,15,staffm1,9431,Matthew Stafford,QB,LAR,15.232,23.133,36.490,263.993,1.439,0.961,2.490,2.578,9.783,0.069,0.000,0.000,0.000,0.277,0.000,0.000,12.801,0.637,0.000,15.232,15.23200,NA,NA,NA,NA
2020,15,minshg1,14067,Gardner Minshew,QB,JAX,15.009,21.280,35.222,260.643,1.116,0.964,2.975,3.830,22.030,0.084,0.000,0.000,0.000,0.330,0.000,0.000,12.418,1.434,0.000,15.009,15.00900,NA,NA,NA,NA
2020,15,lockd1,14057,Drew Lock,QB,DEN,14.773,21.074,34.510,247.306,1.483,1.093,2.530,2.737,10.244,0.114,0.000,0.000,0.000,0.287,0.000,0.000,11.908,0.667,0.000,14.773,14.77300,NA,NA,NA,NA
2020,15,daltoa1,10313,Andy Dalton,QB,CHI,14.699,23.435,36.143,257.457,1.466,0.857,2.566,1.923,5.351,0.039,0.000,0.000,0.000,0.259,0.000,0.000,12.608,0.348,0.000,14.699,14.69900,NA,NA,NA,NA
2020,15,tagovt1,14778,Tua Tagovailoa,QB,MIA,14.024,21.510,33.734,212.404,1.457,0.930,2.660,3.210,13.535,0.116,0.000,0.000,0.000,0.245,0.000,0.000,10.709,0.881,0.000,14.024,14.02400,NA,NA,NA,NA
2020,15,mullen1,13968,Nick Mullens,QB,SF,13.828,22.728,34.984,256.811,1.432,0.893,2.293,0.000,0.000,0.000,0.000,0.000,0.000,0.193,0.000,0.000,12.485,0.000,0.000,13.828,13.82800,NA,NA,NA,NA
2020,15,haskid1,14058,Dwayne Haskins,QB,PIT,12.519,21.197,34.075,230.943,1.310,0.976,2.813,1.283,3.636,0.033,0.000,0.000,0.000,0.284,0.000,0.000,11.334,0.237,0.000,12.519,12.51900,NA,NA,NA,NA
2020,15,mccoyc1,9899,Colt McCoy,QB,ARI,12.421,19.901,32.406,210.639,1.270,0.988,3.500,3.620,10.714,0.070,0.000,0.000,0.000,0.300,0.000,0.000,10.418,0.697,0.000,12.421,12.42100,NA,NA,NA,NA
2020,15,darnos1,13592,Sam Darnold,QB,CAR,10.393,18.424,31.793,197.736,0.808,1.174,3.240,3.049,12.212,0.181,0.000,0.000,0.000,0.354,0.000,0.000,9.743,0.795,0.000,10.393,10.39300,NA,NA,NA,NA
2020,15,finler1,14068,Ryan Finley,QB,HOU,8.514,21.062,34.495,189.723,0.874,1.040,3.261,0.195,1.207,0.009,0.000,0.000,0.000,0.333,0.000,0.000,9.827,0.079,0.000,8.514,8.51400,NA,NA,NA,NA
2020,15,hillt2,13424,Taysom Hill,QB,NO,3.683,0.112,0.166,1.412,0.000,0.003,0.012,3.898,21.763,0.252,0.000,0.000,0.000,0.028,0.000,0.000,0.067,1.417,0.000,3.683,3.68300,NA,NA,NA,NA
2020,15,brissj1,12616,Jacoby Brissett,QB,MIA,1.620,0.000,0.000,0.000,0.000,0.000,0.000,0.649,2.782,0.225,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.181,0.000,1.620,1.62000,NA,NA,NA,NA
2020,15,henryd1,12626,Derrick Henry,RB,TEN,20.081,0.000,0.000,0.000,0.000,0.000,0.000,23.883,113.897,1.192,1.750,12.771,0.083,0.118,0.000,0.000,0.000,5.706,0.587,21.831,20.95600,NA,NA,NA,NA
2020,15,cookd1,13128,Dalvin Cook,RB,MIN,18.078,0.000,0.000,0.000,0.000,0.000,0.000,22.049,92.764,0.851,3.433,30.533,0.163,0.168,0.000,0.000,0.000,4.647,1.395,21.511,19.79450,NA,NA,NA,NA
2020,15,kamara1,13132,Alvin Kamara,RB,NO,17.551,0.000,0.000,0.000,0.000,0.000,0.000,13.283,63.971,0.336,6.450,74.814,0.322,0.138,0.000,0.000,0.000,3.205,3.395,24.001,20.77600,NA,NA,NA,NA
2020,15,chubbn1,13610,Nick Chubb,RB,CLE,15.075,0.000,0.000,0.000,0.000,0.000,0.000,18.317,97.817,0.650,1.449,12.132,0.068,0.114,0.000,0.000,0.000,4.901,0.555,16.524,15.79950,NA,NA,NA,NA
2020,15,tayloj2,14802,Jonathan Taylor,RB,IND,14.742,0.000,0.000,0.000,0.000,0.000,0.000,19.514,90.402,0.518,2.414,22.878,0.094,0.129,0.000,0.000,0.000,4.529,1.043,17.156,15.94900,NA,NA,NA,NA
2020,15,akersc1,14799,Cam Akers,RB,LAR,14.440,0.000,0.000,0.000,0.000,0.000,0.000,21.768,90.311,0.556,1.793,18.625,0.066,0.093,0.000,0.000,0.000,4.525,0.847,16.233,15.33650,NA,NA,NA,NA
2020,15,jonesa2,13319,Aaron Jones,RB,GB,14.076,0.000,0.000,0.000,0.000,0.000,0.000,15.465,77.542,0.533,3.356,25.594,0.126,0.096,0.000,0.000,0.000,3.885,1.175,17.432,15.75400,NA,NA,NA,NA
2020,15,robinj4,14813,James Robinson,RB,JAX,13.691,0.000,0.000,0.000,0.000,0.000,0.000,19.961,83.164,0.417,3.086,26.064,0.117,0.218,0.000,0.000,0.000,4.167,1.192,16.777,15.23400,NA,NA,NA,NA
2020,15,ekelea1,13404,Austin Ekeler,RB,LAC,13.314,0.000,0.000,0.000,0.000,0.000,0.000,13.834,63.336,0.164,5.931,48.459,0.236,0.133,0.000,0.000,0.000,3.173,2.219,19.245,16.27950,NA,NA,NA,NA
2020,15,jacobj1,14073,Josh Jacobs,RB,LV,13.294,0.000,0.000,0.000,0.000,0.000,0.000,16.397,67.260,0.837,2.152,13.838,0.063,0.108,0.000,0.000,0.000,3.370,0.639,15.446,14.37000,NA,NA,NA,NA
2020,15,montgd1,14071,David Montgomery,RB,CHI,13.228,0.000,0.000,0.000,0.000,0.000,0.000,16.246,62.843,0.496,3.514,33.673,0.145,0.135,0.000,0.000,0.000,3.148,1.535,16.742,14.98500,NA,NA,NA,NA
