state,sportsbook
CO,BET_RIVERS_CO
CO,DRAFTKINGS
CO,FANDUEL
CO,MGM
CO,POINTSBET
IA,BET_RIVERS_IA
IA,DRAFTKINGS
IA,FANDUEL
IA,MGM
IA,POINTSBET
IL,BET_RIVERS_IL
IL,DRAFTKINGS
IL,FANDUEL
IL,POINTSBET
IN,BET_RIVERS_IN
IN,DRAFTKINGS
IN,FANDUEL
IN,MGM
IN,POINTSBET
IN,UNIBET
MI,BET_RIVERS_MI
MI,DRAFTKINGS
MI,FANDUEL
MI,MGM
MI,POINTSBET
NH,DRAFTKINGS
NH,FANDUEL
NJ,DRAFTKINGS
NJ,FANDUEL
NJ,MGM
NJ,POINTSBET
NJ,SUGAR_HOUSE_NJ
NJ,UNIBET
NV,MGM
OR,MGM
PA,BET_RIVERS_PA
PA,DRAFTKINGS
PA,FANDUEL
PA,MGM
PA,SUGAR_HOUSE_PA
PA,UNIBET
TN,DRAFTKINGS
TN,FANDUEL
TN,MGM
VA,DRAFTKINGS
VA,FANDUEL
VA,MGM
WV,DRAFTKINGS
WV,FANDUEL
WV,MGM
CO,WILLIAM_HILL
IA,WILLIAM_HILL
IN,WILLIAM_HILL
MI,WILLIAM_HILL
NJ,WILLIAM_HILL
NV,WILLIAM_HILL
PA,WILLIAM_HILL
TN,WILLIAM_HILL
VA,WILLIAM_HILL
WV,WILLIAM_HILL
