player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr,week
Stefon Diggs,9579,WR,1,BUF,9,8,86,52,1.65,1
Calvin Ridley,48262,WR,1,ATL,12,9,130,50,2.6,1
John Brown,8726,WR,1,BUF,8,6,70,50,1.4,1
DeAndre Hopkins,7808,WR,1,ARI,16,14,151,49,3.08,1
Julio Jones,6158,WR,1,ATL,12,9,157,47,3.34,1
Marvin Jones Jr.,7158,WR,1,DET,8,4,55,47,1.17,1
Russell Gage,44771,WR,1,ATL,12,9,114,46,2.48,1
Hayden Hurst,47294,TE,1,ATL,5,3,38,45,0.84,1
Christian Kirk,47546,WR,1,ARI,4,1,0,45,0,1
Davante Adams,8688,WR,1,GB,17,14,156,43,3.63,1
Amari Cooper,9437,WR,1,DAL,13,10,81,43,1.88,1
Michael Gallup,26075,WR,1,DAL,3,3,50,43,1.16,1
Evan Engram,11778,TE,1,NYG,7,2,9,43,0.21,1
Darius Slayton,25578,WR,1,NYG,8,6,102,42,2.43,1
Sterling Shepard,10674,WR,1,NYG,6,6,47,42,1.12,1
Larry Fitzgerald,1724,WR,1,ARI,5,4,34,41,0.83,1
CeeDee Lamb,61570,WR,1,DAL,7,5,59,40,1.48,1
T.Y. Hilton,7092,WR,1,IND,9,4,53,40,1.33,1
Corey Davis,11760,WR,1,TEN,8,7,101,39,2.59,1
D.K. Metcalf,47864,WR,1,SEA,7,4,95,39,2.44,1
Chris Godwin,11839,WR,1,TB,7,6,79,39,2.03,1
Parris Campbell,47940,WR,1,IND,9,6,71,39,1.82,1
A.J. Brown,48327,WR,1,TEN,7,5,39,39,1,1
Tyler Boyd,10689,WR,1,CIN,5,4,33,39,0.85,1
Breshad Perriman,9459,WR,1,NYJ,5,3,17,39,0.44,1
Mike Evans,8642,WR,1,TB,4,1,2,39,0.05,1
Jamison Crowder,9538,WR,1,NYJ,12,7,115,38,3.03,1
Tyler Lockett,9502,WR,1,SEA,8,8,92,38,2.42,1
Allen Lazard,48135,WR,1,GB,4,4,63,38,1.66,1
Cole Beasley,7330,WR,1,BUF,7,4,58,37,1.57,1
D.J. Moore,48267,WR,1,CAR,9,4,54,37,1.46,1
Zach Ertz,7816,TE,1,PHI,7,3,18,37,0.49,1
John Ross,11764,WR,1,CIN,5,2,17,37,0.46,1
Chris Hogan,6468,WR,1,NYJ,4,1,0,37,0,1
Allen Robinson II,8696,WR,1,CHI,9,5,74,36,2.06,1
JuJu Smith-Schuster,11817,WR,1,PIT,6,6,69,36,1.92,1
Terry McLaurin,48229,WR,1,WAS,7,5,61,36,1.69,1
Kendrick Bourne,12270,WR,1,SF,5,2,34,36,0.94,1
Robby Anderson,11254,WR,1,CAR,8,6,115,35,3.29,1
Quintez Cephus,29614,WR,1,DET,9,3,43,35,1.23,1
Diontae Johnson,33441,WR,1,PIT,10,6,57,34,1.68,1
Steven Sims,48341,WR,1,WAS,3,3,50,34,1.47,1
Christian McCaffrey,11763,HB,1,CAR,4,3,38,34,1.12,1
Randall Cobb,6216,WR,1,HOU,3,2,23,34,0.68,1
Jarvis Landry,8698,WR,1,CLE,6,5,61,33,1.85,1
Jack Doyle,8520,TE,1,IND,4,3,49,33,1.48,1
Adam Humphries,10075,WR,1,TEN,6,6,47,33,1.42,1
Preston Williams,38855,WR,1,MIA,6,2,41,33,1.24,1
Odell Beckham Jr.,8647,WR,1,CLE,10,3,22,33,0.67,1
Will Fuller V,10655,WR,1,HOU,11,8,112,32,3.5,1
Scotty Miller,47481,WR,1,TB,5,5,73,32,2.28,1
Saquon Barkley,45791,HB,1,NYG,9,6,60,32,1.88,1
Jordan Akins,47050,TE,1,HOU,2,2,39,32,1.22,1
David Johnson,9519,HB,1,HOU,4,3,32,32,1,1
Adam Thielen,8288,WR,1,MIN,8,6,110,31,3.55,1
Dallas Goedert,47272,TE,1,PHI,9,8,101,31,3.26,1
Danny Amendola,4717,WR,1,DET,7,5,81,31,2.61,1
C.J. Uzomah,9590,TE,1,CIN,5,4,45,31,1.45,1
George Kittle,11901,TE,1,SF,5,4,44,31,1.42,1
Keenan Allen,7857,WR,1,LAC,7,4,37,31,1.19,1
Logan Thomas,8755,TE,1,WAS,8,4,37,31,1.19,1
Jimmy Graham,5619,TE,1,CHI,6,3,25,31,0.81,1
Zach Pascal,12303,WR,1,IND,3,2,18,31,0.58,1
Michael Thomas,10681,WR,1,NO,5,3,17,31,0.55,1
